name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
Apothic Red,234369,Red Wine,E. & J. Gallo Winery,750 mL bottle,14.45,15.95,1.5,2013-06-23,LCBO,M - Medium,"California, USA",false,,,,Blend,Medium-bodied & Fruity
Fontella Chianti Docg,230797,Red Wine,Azienda Vinicola Girelli Spa,750 mL bottle,11.45,12.95,1.5,2013-06-23,LCBO,XD - Extra Dry,"Tuscany, Italy",false,,http://lcbo.com/assets/products/234x234/0230797.jpg,http://lcbo.com/assets/products/720x720/0230797.jpg,Chianti,Medium-bodied & Fruity
Pelee Island Merlot,594168,Red Wine,Pelee Island Vineyard Inc.,1500 mL bottle,16.45,17.95,1.5,2013-06-23,LCBO,D - Dry,Canada,false,,,,Merlot,Medium-bodied & Fruity
Fat Bastard Chardonnay Vdp,563130,White Wine,Domaines Du Soleil,750 mL bottle,13.45,14.95,1.5,2013-06-23,LCBO,XD - Extra Dry,France,false,,http://lcbo.com/assets/products/234x234/0563130.jpg,http://lcbo.com/assets/products/720x720/0563130.jpg,Chardonnay,Full-bodied & Rich
Montes Limited Selection Cabernet Sauvignon / Carmenère,292169,Red Wine,Montes S.A.,750 mL bottle,13.2,14.7,1.5,2013-06-23,LCBO,XD - Extra Dry,"Colchagua Valley, Chile",false,,,,Cabernet Sauvignon Blend,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
Errazuriz Sauvignon Blanc,263574,White Wine,Vina Errazuriz S.A.,750 mL bottle,11.45,12.95,1.5,2013-06-23,LCBO,XD - Extra Dry,Chile,false,,,,Sauvignon Blanc,Light & Crisp
Inniskillin Cabernet Merlot VQA,627166,Red Wine,Cartier Wines & Beverages,750 mL bottle,13.45,14.95,1.5,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0627166.jpg,http://lcbo.com/assets/products/720x720/0627166.jpg,Cabernet/Merlot,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
Pelee Island Pinot Grigio,614826,White Wine,Pelee Island Vineyard Inc.,1500 mL bottle,15.45,16.95,1.5,2013-06-23,LCBO,D - Dry,Canada,false,,,,Pinot Grigio,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Montes Limited Selection Cabernet Sauvignon / Carmenère,292169,Red Wine,Montes S.A.,750 mL bottle,13.2,14.7,1.5,2013-06-23,LCBO,XD - Extra Dry,"Colchagua Valley, Chile",false,,,,Cabernet Sauvignon Blend,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
